Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"24,476","6,329","14,161","1,239",0.45,5.11,$10.75,$4.80,$54.91
11-20,"24,476","45,300","9,426","34,233","2,582",0.28,3.65,$13.32,$3.67,$48.64
21-30,"45,300","72,627","24,820","57,464","3,920",0.43,6.33,$10.00,$4.32,$63.30
31-40,"72,627","101,451","28,672","86,863","5,710",0.33,5.02,$14.78,$4.88,$74.21
41-50,"101,451","148,871","56,833","126,786","7,981",0.45,7.12,$9.39,$4.21,$66.87
51-60,"148,871","196,589","74,465","176,000","10,444",0.42,7.13,$9.24,$3.91,$65.85
61-70,"196,589","257,203","107,474","219,305","13,289",0.49,8.09,$7.49,$3.67,$60.57
71-80,"257,203","360,556","161,057","300,253","17,269",0.54,9.33,$7.50,$4.02,$69.90
81-90,"360,556","530,526","300,049","422,653","23,519",0.71,12.76,$5.98,$4.25,$76.30
>90,"530,526","2,250,730","672,391","898,562","48,254",0.75,13.93,$6.36,$4.76,$88.62
Total,0,"2,250,730","144,300","233,751","13,427",0.62,10.75,$7.05,$4.35,$75.79
