Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"1,625","3,506","15,807",885,0.22,3.96,$17.30,$3.84,$68.49
11-20,"1,625","2,811","6,903","34,927","2,163",0.20,3.19,$18.89,$3.73,$60.29
21-30,"2,811","4,190","10,984","53,886","3,489",0.20,3.15,$17.48,$3.56,$55.04
31-40,"4,190","6,044","13,777","79,517","5,089",0.17,2.71,$18.39,$3.19,$49.79
41-50,"6,044","8,475","18,719","119,278","7,244",0.16,2.58,$19.53,$3.07,$50.48
51-60,"8,475","11,687","26,027","163,560","10,021",0.16,2.60,$19.17,$3.05,$49.78
61-70,"11,687","16,326","32,703","220,115","13,985",0.15,2.34,$19.86,$2.95,$46.44
71-80,"16,326","23,274","47,063","326,215","19,528",0.14,2.41,$20.54,$2.96,$49.50
81-90,"23,274","39,153","76,245","514,168","30,305",0.15,2.52,$19.48,$2.89,$49.01
>90,"39,153","772,284","173,132","1,503,300","82,009",0.12,2.11,$19.54,$2.25,$41.24
Total,0,"772,284","40,959","303,622","17,501",0.13,2.34,$19.52,$2.63,$45.68
