Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"3,676","1,927","32,385","1,728",0.06,1.11,$46.79,$2.78,$52.16
11-20,"3,676","8,236","5,659","52,524","2,971",0.11,1.90,$27.53,$2.97,$52.44
21-30,"8,236","14,239","11,217","90,212","4,705",0.12,2.38,$33.14,$4.12,$79.01
31-40,"14,239","24,476","18,780","109,891","5,976",0.17,3.14,$18.03,$3.08,$56.68
41-50,"24,476","36,376","30,701","132,195","7,091",0.23,4.33,$14.92,$3.47,$64.59
51-60,"36,376","55,054","45,420","216,493","11,198",0.21,4.06,$17.38,$3.65,$70.51
61-70,"55,054","89,932","71,562","255,417","14,177",0.28,5.05,$13.22,$3.70,$66.75
71-80,"89,932","167,386","120,323","302,815","18,451",0.40,6.52,$9.27,$3.68,$60.43
81-90,"167,386","320,598","236,756","403,348","22,125",0.59,10.70,$7.65,$4.49,$81.89
>90,"320,598","3,113,887","898,553","741,861","45,800",1.21,19.62,$4.56,$5.52,$89.41
Total,0,"3,113,887","144,300","233,751","13,427",0.62,10.75,$7.05,$4.35,$75.79
