State,Total Trips Per VRM,Fixed-Route Trips Per VRM,Demand-Response Trips Per VRM,Total Trips Per VRH,Fixed-Route Trips Per VRH,Demand-Response Trips Per VRH,Operating Expense Per Trip,Operating Expense Per VRM,Operating Expense Per VRH,Farebox Recovery Ratio
Alabama,0.26,0.15,0.26,4.45,1.88,4.48,$10.37,$2.67,$46.14,0.06
Alaska,0.78,1.11,0.12,12.67,18.72,1.91,$9.64,$7.53,$122.06,0.18
Arizona,0.36,0.39,0.2,5.94,6.67,2.68,$10.91,$3.97,$64.86,0.08
Arkansas,0.08,0.61,0.08,1.65,7.15,1.49,$21.10,$1.78,$34.88,0.06
California,0.36,0.37,0.33,7.17,8.7,3.9,$13.47,$4.89,$96.60,0.12
Colorado,0.9,1.45,0.19,13.46,20.88,2.5,$5.45,$4.88,$73.33,0.09
Connecticut,0.26,0.42,0.12,4.36,6.5,2.01,$13.76,$3.59,$60.03,0.08
Delaware,-,-,-,-,-,-,-,-,-,-
Florida,0.15,0.5,0.09,2.99,8.29,1.8,$19.07,$2.85,$57.01,0.04
Georgia,0.1,-,0.1,1.69,-,1.69,$20.08,$1.93,$33.92,0.04
Hawaii,0.36,0.62,0.17,6.24,12,1.97,$15.42,$5.60,$96.18,0.08
Idaho,0.62,0.96,0.22,10.96,15.39,2.58,$6.04,$3.77,$66.22,0.09
Illinois,0.21,0.59,0.14,3.88,11.08,2.66,$14.03,$2.92,$54.46,0.04
Indiana,0.18,0.63,0.14,2.75,8.71,2.16,$14.17,$2.57,$38.90,0.08
Iowa,0.25,0.67,0.2,3.58,9.29,2.85,$12.95,$3.24,$46.33,0.1
Kansas,0.21,0.38,0.17,3.68,5.74,3.02,$11.83,$2.50,$43.59,0.08
Kentucky,0.1,0.5,0.09,1.79,5.68,1.51,$19.43,$2.01,$34.72,0.03
Louisiana,0.1,-,0.1,1.7,-,1.7,$23.37,$2.28,$39.72,0.03
Maine,0.33,0.85,0.08,5.82,12.17,1.59,$16.02,$5.23,$93.14,0.24
Maryland,0.86,1.45,0.16,11.66,18.9,2.27,$4.48,$3.87,$52.21,0.26
Massachusetts,0.84,0.96,0.13,12.76,15.25,1.67,$6.43,$5.40,$82.07,0.22
Michigan,0.27,0.4,0.21,4.39,6.3,3.53,$12.76,$3.40,$56.07,0.12
Minnesota,0.3,0.29,0.3,4.44,5.06,4.13,$13.53,$3.99,$60.07,0.08
Mississippi,0.27,1.28,0.12,6.3,18.03,3,$7.91,$2.17,$49.87,0.03
Missouri,0.1,0.34,0.1,1.9,3.52,1.9,$19.92,$2.04,$37.85,0.29
Montana,0.37,0.55,0.26,5.43,9.31,3.11,$9.60,$3.56,$52.11,0.05
Nebraska,0.19,0.11,0.19,2.71,1.49,2.79,$16.37,$3.07,$44.34,0.1
Nevada,0.34,0.73,0.18,5.56,11.81,2.78,$12.97,$4.42,$72.08,0.09
New Hampshire,0.82,1.11,0.17,9.21,14.87,1.4,$6.31,$5.21,$58.10,0.05
New Jersey,0.2,0.35,0.13,3.06,7.46,1.92,$21.05,$4.11,$64.44,0.02
New Mexico,0.44,0.55,0.27,6.37,8.31,3.58,$9.18,$4.06,$58.42,0.05
New York,0.27,0.28,0.23,5.12,5.28,3.31,$13.99,$3.79,$71.59,0.08
North Carolina,0.17,1.09,0.09,3.09,15.77,1.79,$13.24,$2.20,$40.95,0.03
North Dakota,0.19,0.61,0.17,2.74,8.73,2.37,$16.62,$3.20,$45.57,0.12
Ohio,0.19,0.64,0.13,3.4,9.74,2.4,$17.63,$3.37,$59.90,0.06
Oklahoma,0.17,0.69,0.14,2.55,10.78,2.11,$13.23,$2.24,$33.69,0.06
Oregon,0.28,0.43,0.17,5.06,7.74,2.5,$12.51,$3.46,$63.25,0.12
Pennsylvania,0.33,0.54,0.13,5.57,8.62,2.23,$14.23,$4.65,$79.17,0.3
Rhode Island,-,-,-,-,-,-,-,-,-,-
South Carolina,0.09,0.23,0.08,1.9,3.48,1.74,$19.08,$1.71,$36.28,0.05
South Dakota,0.34,-,0.34,4.24,-,4.24,$10.56,$3.60,$44.76,0.12
Tennessee,0.32,2.51,0.06,6.22,33.15,1.28,$6.82,$2.18,$42.40,0.06
Texas,0.15,0.62,0.14,3.34,9.77,2.61,$17.32,$2.68,$57.80,0.05
Utah,1.04,1.13,0.12,17.58,19.04,2.11,$5.06,$5.25,$88.86,0
Vermont,0.14,0.73,0.05,3.71,11.73,1.42,$12.18,$1.75,$45.22,0.02
Virginia,0.23,0.37,0.13,4.3,6.91,2.41,$11.81,$2.76,$50.79,0.05
Washington,0.37,0.57,0.12,7.66,12.38,1.98,$13.00,$4.84,$99.56,0.08
West Virginia,0.24,0.33,0.1,4.19,6.5,1.57,$12.64,$2.99,$52.90,0.06
Wisconsin,0.28,0.42,0.24,3.46,7.07,2.72,$10.07,$2.78,$34.82,0.28
Wyoming,0.75,1.19,0.26,9.4,17.36,2.86,$4.96,$3.72,$46.58,0.07
