Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"1,864","5,192","18,949","1,048",0.27,4.95,$13.38,$3.66,$66.27
11-20,"1,864","2,889","9,130","36,900","2,365",0.25,3.86,$13.72,$3.39,$52.96
21-30,"2,889","4,125","16,364","70,421","3,424",0.23,4.78,$14.61,$3.40,$69.84
31-40,"4,125","6,385","23,315","100,907","5,345",0.23,4.36,$18.10,$4.18,$78.96
41-50,"6,385","8,440","46,062","134,022","7,406",0.34,6.22,$10.31,$3.54,$64.10
51-60,"8,440","10,931","58,022","168,600","9,784",0.34,5.93,$11.80,$4.06,$69.99
61-70,"10,931","14,413","96,067","223,737","12,794",0.43,7.51,$8.89,$3.82,$66.74
71-80,"14,413","20,448","144,742","301,201","17,271",0.48,8.38,$8.79,$4.22,$73.64
81-90,"20,448","30,068","240,261","409,057","24,729",0.59,9.72,$6.65,$3.91,$64.60
>90,"30,068","129,643","802,011","872,329","50,026",0.92,16.03,$5.52,$5.08,$88.58
Total,0,"129,643","144,300","233,751","13,427",0.62,10.75,$7.05,$4.35,$75.79
