Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"1,897","4,426","20,111","1,104",0.22,4.01,$19.91,$4.38,$79.83
11-20,"1,897","3,622","10,317","44,214","2,748",0.23,3.76,$18.34,$4.28,$68.86
21-30,"3,622","5,664","13,533","75,515","4,525",0.18,2.99,$16.84,$3.02,$50.36
31-40,"5,664","8,095","26,233","124,965","6,847",0.21,3.83,$14.61,$3.07,$55.97
41-50,"8,095","11,331","38,648","166,569","9,678",0.23,3.99,$13.87,$3.22,$55.40
51-60,"11,331","14,940","53,482","226,713","13,267",0.24,4.03,$14.44,$3.41,$58.22
61-70,"14,940","20,653","66,715","305,310","17,676",0.22,3.77,$13.67,$2.99,$51.60
71-80,"20,653","30,900","113,551","441,779","25,276",0.26,4.49,$12.72,$3.27,$57.15
81-90,"30,900","47,678","223,095","638,900","38,248",0.35,5.83,$9.64,$3.37,$56.25
>90,"47,678","772,284","442,000","1,734,137","95,205",0.25,4.64,$11.19,$2.85,$51.97
Total,0,"772,284","99,349","378,445","21,490",0.26,4.62,$11.75,$3.08,$54.30
